Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Alabama,SEC,31,5,82.3,68.2,14.11,9.68,17.23,6.57,23.79,116.33,83.14,33.19
2,Houston,AAC,33,3,74.9,56.6,18.28,4.75,5.66,17.36,23.02,117.69,83.04,34.64
3,UCLA,Pac-12,31,5,74.1,60.2,13.92,8.52,7.58,14.86,22.43,115.61,83.28,32.33
4,Tennessee,SEC,25,10,71.2,57.8,13.43,8,4.64,16.79,21.42,112.53,80.99,31.54
5,Connecticut,Big East,26,8,78.7,64.9,13.82,7.61,11.04,10.34,21.38,115.4,85.61,29.79
6,Texas,Big 12,28,8,77.8,67.2,10.56,10.33,11.49,9.39,20.89,116.43,86.64,29.8
7,Gonzaga,WCC,30,5,87.3,73.1,14.2,7.35,17.77,1.91,19.67,123.17,95.7,27.47
8,Kansas,Big 12,28,8,75.4,68.1,7.36,12.01,10.97,8.4,19.37,114.98,87.87,27.11
9,Arizona,Pac-12,28,7,81.9,71.1,10.74,8.5,16.85,2.39,19.25,118.52,92.19,26.33
10,Purdue,Big Ten,29,6,72.7,62.7,9.91,8.38,6.26,12.04,18.3,117.34,90.04,27.3
11,Creighton,Big East,23,12,76.7,68.5,8.2,9.68,9.62,8.26,17.88,115.29,89.58,25.71
12,Saint Mary's (CA),WCC,27,8,70.7,60.1,10.51,7.29,1.28,16.24,17.53,112.76,86.49,26.27
13,Baylor,Big 12,23,11,77,70.3,6.76,10.71,12.13,5.35,17.48,119.85,95.35,24.5
14,Marquette,Big East,29,7,79.3,70.3,9.06,7.86,12.38,4.53,16.91,117.2,93.21,23.99
15,Arkansas,SEC,22,13,74.3,67.4,6.94,9.7,8.83,7.81,16.64,111.57,88.12,23.45
16,Xavier,Big East,27,9,81.2,73.8,7.39,8.74,13.94,2.19,16.13,116.44,94.2,22.24
17,West Virginia,Big 12,19,15,76,70.9,5.06,11.02,10.93,5.14,16.08,116.65,94.05,22.6
18,Kansas State,Big 12,25,9,75.5,68.9,6.62,9.36,10.33,5.65,15.98,111.62,89.15,22.47
19,TCU,Big 12,22,13,75.3,68.4,6.83,8.95,8.93,6.85,15.78,111.72,89.97,21.75
20,Duke,ACC,27,9,72,63.6,8.39,7.38,4.62,11.15,15.77,112.7,89.35,23.35
21,San Diego State,MWC,29,6,71.9,63.1,8.8,7.76,3.94,11.76,15.7,110.82,87.68,23.14
22,Iowa State,Big 12,19,14,67.6,62.6,4.97,10.48,0.63,14.81,15.45,107.36,85.46,21.9
23,Indiana,Big Ten,23,12,74.7,68.7,6.06,8.95,8.57,6.43,15,114.19,92.71,21.48
24,Kentucky,SEC,22,12,74.5,67.8,6.68,8.32,7.85,7.15,15,116.14,94.2,21.94
25,Illinois,Big Ten,20,13,74.3,67.2,7.15,7.76,8.64,6.28,14.91,110.6,89.89,20.71
26,Memphis,AAC,26,9,79.4,71.8,7.6,7.14,12.07,2.66,14.74,112.32,91.62,20.69
27,Maryland,Big Ten,22,13,69.7,63.5,6.23,8.41,3.7,10.94,14.64,113.56,91.52,22.04
28,Auburn,SEC,21,13,72.8,67.7,5.06,9.55,6.9,7.71,14.61,111.49,90.68,20.81
29,Rutgers,Big Ten,19,15,68.4,61.1,7.26,7.34,1.3,13.31,14.6,106.13,85.18,20.95
30,Michigan State,Big Ten,21,12,70.2,67,3.24,11.21,4.46,10,14.46,112.06,90.94,21.12
31,Utah State,MWC,26,9,78.2,69.9,8.29,6.87,10.32,3.96,14.28,114.98,94.9,20.07
32,Iowa,Big Ten,19,14,80.1,74.7,5.39,8.76,15.18,-1.02,14.16,119.62,99.72,19.9
33,Oregon,Pac-12,21,14,71,66.4,4.54,9.56,6.55,7.56,14.1,113.05,92.89,20.16
34,Texas A&M,SEC,25,10,72.8,66.5,6.34,7.66,5.74,8.26,14,113.43,93.01,20.42
35,Northwestern,Big Ten,22,12,67.7,62.8,4.97,8.76,1.86,11.87,13.73,108.62,89.1,19.51
36,Virginia,ACC,25,8,67.8,60.5,7.3,5.95,-0.68,13.94,13.26,111.06,90.89,20.17
37,Southern California,Pac-12,22,11,72.5,67.4,5.06,8.16,7.36,5.86,13.22,111.26,92.77,18.49
38,Florida Atlantic,CUSA,33,3,78.4,65.1,13.31,0.78,7.03,6.13,13.16,112.31,93.17,19.14
39,Penn State,Big Ten,23,14,72.2,68.2,4.03,9.07,7.11,5.99,13.1,116.82,97.74,19.08
40,Ohio State,Big Ten,16,19,72.5,69,3.54,9.52,7.59,5.47,13.06,115.19,96.38,18.8
41,Miami (FL),ACC,27,7,79.1,71.6,7.53,5.48,11.44,1.57,13.01,116.38,97.79,18.58
42,Oklahoma State,Big 12,20,15,68.5,65.9,2.69,10.25,2.99,9.95,12.94,105.81,87.29,18.52
43,North Carolina,ACC,20,13,76.2,70.9,5.27,7.64,9.3,3.61,12.91,111.35,93.09,18.27
44,Boise State,MWC,24,10,72.1,64.6,7.44,6.25,3.94,8.89,12.83,109.1,90.58,18.52
45,Texas Tech,Big 12,16,16,73.3,69,4.34,8.37,6.07,6.64,12.72,110.95,93.72,17.23
46,Providence,Big East,21,12,77.3,71,6.33,6.35,9.27,3.41,12.68,113.7,96.33,17.37
