Rk,School,G,W,L,W.L.,SRS,SOS,W.1.,L.1.,W.2.,L.2.,W.3.,L.3.,Tm.,Opp.,MP,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,30,13,17,0.433,-2.72,0.97,5,11,9,5,4,8,2249,2133,1210,812,1800,0.451,211,613,0.344,414,573,0.723,307,972,471,264,71,379,617
2,Air Force,32,14,18,0.438,2.06,2.19,5,13,10,9,4,9,2142,2146,1295,756,1636,0.462,261,733,0.356,369,511,0.722,213,946,491,184,127,391,544
3,Akron,33,22,11,0.667,4.32,-1.52,13,5,15,1,5,6,2463,2209,1330,844,1898,0.445,300,845,0.355,475,643,0.739,335,1178,443,199,87,370,529
4,Alabama,36,31,5,0.861,23.79,9.68,16,2,15,0,9,3,2963,2455,1470,1000,2243,0.446,363,1066,0.341,600,828,0.725,464,1600,545,219,184,498,669
5,Alabama A&M,33,15,18,0.455,-10.69,-7.62,10,8,9,8,5,8,2297,2340,1336,823,1868,0.441,226,610,0.37,425,649,0.655,334,1079,419,264,133,498,624
6,Alabama State,31,8,23,0.258,-16.25,-6.22,6,12,5,5,2,18,1963,2252,1245,683,1821,0.375,185,605,0.306,412,584,0.705,387,1117,309,182,110,414,557
7,Albany (NY),31,8,23,0.258,-14.38,-4.55,3,13,5,6,2,16,2086,2332,1245,726,1755,0.414,237,725,0.327,397,550,0.722,317,1033,363,178,51,414,576
8,Alcorn State,32,18,14,0.563,-8.66,-5.73,15,3,7,2,10,10,2165,2259,1301,763,1868,0.408,164,554,0.296,475,659,0.721,384,1087,316,257,80,404,605
9,American,32,17,15,0.531,-8.26,-7.73,7,11,8,6,9,9,2093,2110,1300,785,1630,0.482,204,589,0.346,319,455,0.701,259,970,436,238,126,448,482
10,Appalachian State,32,16,16,0.5,-1.45,-0.93,9,9,10,7,6,7,2248,2067,1290,819,1854,0.442,243,726,0.335,367,543,0.676,288,1142,417,204,146,352,442
11,Arizona,35,28,7,0.8,19.25,8.5,14,6,15,2,6,4,2866,2490,1400,1023,2072,0.494,295,781,0.378,525,742,0.708,356,1376,662,213,110,468,593
12,Arizona State,36,23,13,0.639,11.44,8.33,11,9,10,5,7,6,2559,2447,1455,910,2163,0.421,274,851,0.322,465,675,0.689,395,1315,515,255,170,422,668
13,Arkansas,35,22,13,0.629,16.64,9.7,8,10,14,3,2,8,2601,2358,1405,941,2000,0.471,174,556,0.313,545,783,0.696,357,1241,455,294,180,448,675
14,Arkansas State,33,13,20,0.394,-8,-3.24,4,14,10,8,2,11,2169,2232,1325,777,1799,0.432,209,593,0.352,406,600,0.677,325,1108,433,220,108,385,553
15,Arkansas-Pine Bluff,31,10,21,0.323,-12.89,-5.26,6,12,8,5,2,16,2074,2162,1250,701,1791,0.391,245,776,0.316,427,587,0.727,314,1071,396,250,86,473,611
16,Army,33,17,16,0.515,-7.13,-7.58,10,8,10,5,7,8,2412,2322,1330,885,1853,0.478,252,718,0.351,390,570,0.684,280,1132,432,168,70,427,532
17,Auburn,34,21,13,0.618,14.61,9.55,10,8,14,2,4,8,2474,2302,1365,875,1991,0.439,221,701,0.315,503,723,0.696,396,1231,479,263,172,414,655
18,Austin Peay,31,9,22,0.29,-12.12,-2.55,3,15,7,8,1,13,2067,2241,1245,743,1790,0.415,222,690,0.322,359,495,0.725,312,972,387,220,94,364,525
19,Ball State,32,20,12,0.625,-1.07,-3.37,11,7,12,2,6,7,2445,2292,1285,841,1785,0.471,240,651,0.369,523,759,0.689,337,1147,422,176,123,391,525
20,Baylor,34,23,11,0.676,17.48,10.71,11,7,14,3,5,5,2619,2389,1365,880,1957,0.45,323,878,0.368,536,720,0.744,391,1155,483,223,82,413,590
